959	Aipo cru	15	64	0,1	0	0	0,1	0,1	0	1,5	1,5	0	0	2	1,1	0,3	0	94,4	0	0	0	0	0	0,2	0,05	0,04	0,3	0,4	0,1	0,07	0	8	16	0,94	100	300	55	32	13	0,6	0,1
583	Alcachofra cozida	46	193	0,2	0	0	0,1	0,1	0	5,3	2,1	0	3,2	5,6	3	0,4	0	85,1	0	0	20	120	0	0,2	0,06	0,02	0,5	1,1	0,6	0,09	0	6	42	0,85	170	200	42	90	33	0,8	0,5
582	Alcachofra crua	51	214	0,2	0	0	0,1	0,1	0	6,8	2,7	0	4,1	5	3	0,2	0	83,7	0	0	20	120	0	0,2	0,08	0,03	0,8	1,3	0,5	0,1	0	9	74	0,85	84	350	40	90	49	1	0,5
1900000033	Alcaparras (picles)	44	183	0,9	0,2	0,1	0,3	0,1	0	4,9	0,4	0	4,5	3,2	2,4	7,4	0	83,8	0	0	14	83	0	0,9	0,02	0,14	0,7	1,2	0,5	0,02	0	4	74	3,08	2960	40	40	10	33	1,7	0,3
1189	Alecrim fresco	115	478	4,4	1,1	0,3	2,3	2,2	0	13,5	13,5	0	0	7,7	1,4	0	0	73,6	0	0	92	550	0	1,5	0,1	0,21	1	1,3	0,3	0,09	0	29	0	3	15	280	370	20	40	8,5	0,9
1190	Alecrim, seco	377	1580	15,2	3,9	1	7,8	7,5	0	46,4	46,4	0	0	17,7	4,9	0,1	0	9,3	0	0	313	1876	0	9,15	0,1	0,32	1	1,2	0,2	0,38	0	0	0	3	50	950	1280	70	120	29	3,2
584	Alface	15	62	0,2	0	0	0,1	0	0	0,8	0,8	0	0	1,3	1,8	0	0	95,9	0	0	115	688	0	0,6	0,06	0,02	0,4	0,5	0,1	0,04	0	4	55	0,65	3	310	70	46	22	1,5	0,4
1900000024	Alface roxa	15	61	0,2	0	0	0,1	0	0	1,4	0,5	0	0	0,9	1,3	0,1	0	95,6	0	0	751	4495	0	0,15	0,06	0,08	0,32	0,42	0,1	0,1	0	3,7	36	0,55	25	190	33	28	12	1,2	0,2
339	Alheira cozida sem adição de sal	269	1130	14	4,1	5,1	3,2	2,9	0	26,8	1	0	25,8	1,4	8,3	1,5	0	48,9	0	31	0	0	0	0,3	0,02	0,07	1,9	3,2	1,3	0,02	0,7	0	0,7	2	590	76	20	51	16	0,3	1,1
338	Alheira crua	309	1290	18,1	5,2	6,6	4,1	3,7	0,1	27,4	1	0	26,4	1,4	8,3	1,7	0	43,8	0	32	0	0	0	0,3	0,02	0,07	2,4	3,7	1,3	0,03	1	0	1	2,4	670	86	19	52	16	0,3	1,1
